state,type,date,staff
Johor,dentist,01/01/2014,321
Johor,dentist,01/01/2015,331
Johor,dentist,01/01/2016,384
Johor,dentist,01/01/2017,546
Johor,dentist,01/01/2018,613
Johor,dentist,01/01/2019,656
Johor,dentist,01/01/2020,677
Johor,dentist,01/01/2021,701
Johor,dentist,01/01/2022,686
Johor,doctor,01/01/2014,2720
Johor,doctor,01/01/2015,2854
Johor,doctor,01/01/2016,2887
Johor,doctor,01/01/2017,3235
Johor,doctor,01/01/2018,3541
Johor,doctor,01/01/2019,4154
Johor,doctor,01/01/2020,4925
Johor,doctor,01/01/2021,4967
Johor,doctor,01/01/2022,5023
Johor,nurse,01/01/2014,5980
Johor,nurse,01/01/2015,6441
Johor,nurse,01/01/2016,6688
Johor,nurse,01/01/2017,6769
Johor,nurse,01/01/2018,6677
Johor,nurse,01/01/2019,6814
Johor,nurse,01/01/2020,4830
Johor,nurse,01/01/2021,7146
Johor,nurse,01/01/2022,7055
Johor,nurse_community,01/01/2014,2093
Johor,nurse_community,01/01/2015,2095
Johor,nurse_community,01/01/2016,2028
Johor,nurse_community,01/01/2017,1956
Johor,nurse_community,01/01/2018,1933
Johor,nurse_community,01/01/2019,1929
Johor,nurse_community,01/01/2020,1862
Johor,nurse_community,01/01/2021,1772
Johor,nurse_community,01/01/2022,1870
Kedah,dentist,01/01/2014,250
Kedah,dentist,01/01/2015,263
Kedah,dentist,01/01/2016,292
Kedah,dentist,01/01/2017,365
Kedah,dentist,01/01/2018,399
Kedah,dentist,01/01/2019,433
Kedah,dentist,01/01/2020,447
Kedah,dentist,01/01/2021,497
Kedah,dentist,01/01/2022,507
Kedah,doctor,01/01/2014,1895
Kedah,doctor,01/01/2015,2036
Kedah,doctor,01/01/2016,2166
Kedah,doctor,01/01/2017,2292
Kedah,doctor,01/01/2018,2558
Kedah,doctor,01/01/2019,2919
Kedah,doctor,01/01/2020,3380
Kedah,doctor,01/01/2021,3404
Kedah,doctor,01/01/2022,3179
Kedah,nurse,01/01/2014,4169
Kedah,nurse,01/01/2015,4542
Kedah,nurse,01/01/2016,4613
Kedah,nurse,01/01/2017,4669
Kedah,nurse,01/01/2018,4618
Kedah,nurse,01/01/2019,4640
Kedah,nurse,01/01/2020,5151
Kedah,nurse,01/01/2021,5015
Kedah,nurse,01/01/2022,4981
Kedah,nurse_community,01/01/2014,1704
Kedah,nurse_community,01/01/2015,1699
Kedah,nurse_community,01/01/2016,1691
Kedah,nurse_community,01/01/2017,1659
Kedah,nurse_community,01/01/2018,1654
Kedah,nurse_community,01/01/2019,1674
Kedah,nurse_community,01/01/2020,1674
Kedah,nurse_community,01/01/2021,1570
Kedah,nurse_community,01/01/2022,1705
Kelantan,dentist,01/01/2014,300
Kelantan,dentist,01/01/2015,346
Kelantan,dentist,01/01/2016,403
Kelantan,dentist,01/01/2017,473
Kelantan,dentist,01/01/2018,542
Kelantan,dentist,01/01/2019,632
Kelantan,dentist,01/01/2020,663
Kelantan,dentist,01/01/2021,684
Kelantan,dentist,01/01/2022,664
Kelantan,doctor,01/01/2014,1580
Kelantan,doctor,01/01/2015,1658
Kelantan,doctor,01/01/2016,1732
Kelantan,doctor,01/01/2017,1945
Kelantan,doctor,01/01/2018,2144
Kelantan,doctor,01/01/2019,2763
Kelantan,doctor,01/01/2020,3076
Kelantan,doctor,01/01/2021,4006
Kelantan,doctor,01/01/2022,4056
Kelantan,nurse,01/01/2014,3235
Kelantan,nurse,01/01/2015,4818
Kelantan,nurse,01/01/2016,4861
Kelantan,nurse,01/01/2017,4901
Kelantan,nurse,01/01/2018,4726
Kelantan,nurse,01/01/2019,3606
Kelantan,nurse,01/01/2020,2403
Kelantan,nurse,01/01/2021,5323
Kelantan,nurse,01/01/2022,5688
Kelantan,nurse_community,01/01/2014,1676
Kelantan,nurse_community,01/01/2015,1683
Kelantan,nurse_community,01/01/2016,1687
Kelantan,nurse_community,01/01/2017,1671
Kelantan,nurse_community,01/01/2018,1672
Kelantan,nurse_community,01/01/2019,1682
Kelantan,nurse_community,01/01/2020,1577
Kelantan,nurse_community,01/01/2021,1576
Kelantan,nurse_community,01/01/2022,1689
Melaka,dentist,01/01/2014,135
Melaka,dentist,01/01/2015,136
Melaka,dentist,01/01/2016,173
Melaka,dentist,01/01/2017,265
Melaka,dentist,01/01/2018,301
Melaka,dentist,01/01/2019,328
Melaka,dentist,01/01/2020,323
Melaka,dentist,01/01/2021,339
Melaka,dentist,01/01/2022,369
Melaka,doctor,01/01/2014,1092
Melaka,doctor,01/01/2015,1112
Melaka,doctor,01/01/2016,1175
Melaka,doctor,01/01/2017,1383
Melaka,doctor,01/01/2018,1354
Melaka,doctor,01/01/2019,1636
Melaka,doctor,01/01/2020,1290
Melaka,doctor,01/01/2021,2011
Melaka,doctor,01/01/2022,2121
Melaka,nurse,01/01/2014,1860
Melaka,nurse,01/01/2015,2072
Melaka,nurse,01/01/2016,2252
Melaka,nurse,01/01/2017,2148
Melaka,nurse,01/01/2018,2124
Melaka,nurse,01/01/2019,2264
Melaka,nurse,01/01/2020,2966
Melaka,nurse,01/01/2021,2460
Melaka,nurse,01/01/2022,2426
Melaka,nurse_community,01/01/2014,742
Melaka,nurse_community,01/01/2015,736
Melaka,nurse_community,01/01/2016,742
Melaka,nurse_community,01/01/2017,707
Melaka,nurse_community,01/01/2018,701
Melaka,nurse_community,01/01/2019,719
Melaka,nurse_community,01/01/2020,707
Melaka,nurse_community,01/01/2021,653
Melaka,nurse_community,01/01/2022,708
NegeriSembilan,dentist,01/01/2014,203
NegeriSembilan,dentist,01/01/2015,223
NegeriSembilan,dentist,01/01/2016,209
NegeriSembilan,dentist,01/01/2017,285
NegeriSembilan,dentist,01/01/2018,359
NegeriSembilan,dentist,01/01/2019,417
NegeriSembilan,dentist,01/01/2020,463
NegeriSembilan,dentist,01/01/2021,476
NegeriSembilan,dentist,01/01/2022,463
NegeriSembilan,doctor,01/01/2014,1504
NegeriSembilan,doctor,01/01/2015,1502
NegeriSembilan,doctor,01/01/2016,1619
NegeriSembilan,doctor,01/01/2017,1946
NegeriSembilan,doctor,01/01/2018,2335
NegeriSembilan,doctor,01/01/2019,2444
NegeriSembilan,doctor,01/01/2020,2595
NegeriSembilan,doctor,01/01/2021,2698
NegeriSembilan,doctor,01/01/2022,2876
NegeriSembilan,nurse,01/01/2014,2352
NegeriSembilan,nurse,01/01/2015,2479
NegeriSembilan,nurse,01/01/2016,2585
NegeriSembilan,nurse,01/01/2017,2631
NegeriSembilan,nurse,01/01/2018,2591
NegeriSembilan,nurse,01/01/2019,2736
NegeriSembilan,nurse,01/01/2020,4123
