state,year_month,pledges
Johor,2009-01-01,0
Johor,2009-02-01,0
Johor,2009-03-01,0
Johor,2009-04-01,1
Johor,2009-05-01,1
Johor,2009-06-01,0
Johor,2009-07-01,3
Johor,2009-08-01,26
Johor,2009-09-01,0
Johor,2009-10-01,8
Johor,2009-11-01,60
Johor,2009-12-01,103
Johor,2010-01-01,176
Johor,2010-02-01,143
Johor,2010-03-01,127
Johor,2010-04-01,68
Johor,2010-05-01,40
Johor,2010-06-01,17
Johor,2010-07-01,139
Johor,2010-08-01,494
Johor,2010-09-01,146
Johor,2010-10-01,124
Johor,2010-11-01,437
Johor,2010-12-01,288
Johor,2011-01-01,475
Johor,2011-02-01,334
Johor,2011-03-01,1299
Johor,2011-04-01,931
Johor,2011-05-01,491
Johor,2011-06-01,159
Johor,2011-07-01,227
Johor,2011-08-01,161
Johor,2011-09-01,252
Johor,2011-10-01,382
Johor,2011-11-01,300
Johor,2011-12-01,272
Johor,2012-01-01,261
Johor,2012-02-01,460
Johor,2012-03-01,447
Johor,2012-04-01,408
Johor,2012-05-01,222
Johor,2012-06-01,316
Johor,2012-07-01,536
Johor,2012-08-01,212
Johor,2012-09-01,531
Johor,2012-10-01,457
Johor,2012-11-01,570
Johor,2012-12-01,383
Johor,2013-01-01,473
Johor,2013-02-01,315
Johor,2013-03-01,418
Johor,2013-04-01,283
Johor,2013-05-01,303
Johor,2013-06-01,362
Johor,2013-07-01,275
Johor,2013-08-01,165
Johor,2013-09-01,310
Johor,2013-10-01,624
Johor,2013-11-01,318
Johor,2013-12-01,225
Johor,2014-01-01,234
Johor,2014-02-01,255
Johor,2014-03-01,287
Johor,2014-04-01,306
Johor,2014-05-01,308
Johor,2014-06-01,285
Johor,2014-07-01,167
Johor,2014-08-01,316
Johor,2014-09-01,445
Johor,2014-10-01,773
Johor,2014-11-01,374
Johor,2014-12-01,413
Johor,2015-01-01,335
Johor,2015-02-01,699
Johor,2015-03-01,468
Johor,2015-04-01,420
Johor,2015-05-01,544
Johor,2015-06-01,319
Johor,2015-07-01,405
Johor,2015-08-01,176
Johor,2015-09-01,616
Johor,2015-10-01,1369
Johor,2015-11-01,291
Johor,2015-12-01,338
Johor,2016-01-01,746
Johor,2016-02-01,190
Johor,2016-03-01,343
Johor,2016-04-01,251
Johor,2016-05-01,329
Johor,2016-06-01,246
Johor,2016-07-01,154
Johor,2016-08-01,263
Johor,2016-09-01,403
Johor,2016-10-01,1136
Johor,2016-11-01,195
Johor,2016-12-01,141
Johor,2017-01-01,165
Johor,2017-02-01,358
Johor,2017-03-01,261
Johor,2017-04-01,285
Johor,2017-05-01,191
Johor,2017-06-01,152
Johor,2017-07-01,259
Johor,2017-08-01,440
Johor,2017-09-01,330
Johor,2017-10-01,1123
Johor,2017-11-01,459
Johor,2017-12-01,246
Johor,2018-01-01,548
Johor,2018-02-01,403
Johor,2018-03-01,249
Johor,2018-04-01,282
Johor,2018-05-01,184
Johor,2018-06-01,181
Johor,2018-07-01,311
Johor,2018-08-01,180
Johor,2018-09-01,100
Johor,2018-10-01,211
Johor,2018-11-01,295
Johor,2018-12-01,130
Johor,2019-01-01,479
Johor,2019-02-01,529
Johor,2019-03-01,261
Johor,2019-04-01,274
Johor,2019-05-01,177
Johor,2019-06-01,65
Johor,2019-07-01,250
Johor,2019-08-01,300
Johor,2019-09-01,235
Johor,2019-10-01,198
Johor,2019-11-01,228
Johor,2019-12-01,41
Johor,2020-01-01,184
Johor,2020-02-01,213
Johor,2020-03-01,238
Johor,2020-04-01,4
Johor,2020-05-01,19
Johor,2020-06-01,45
Johor,2020-07-01,54
Johor,2020-08-01,65
Johor,2020-09-01,78
Johor,2020-10-01,71
