year,state,blood_type,donations
2006,Johor,a,2132
2006,Johor,ab,537
2006,Johor,all,8487
2006,Johor,b,2236
2006,Johor,o,3582
2006,Kedah,a,7687
2006,Kedah,ab,2268
2006,Kedah,all,30056
2006,Kedah,b,8433
2006,Kedah,o,11668
2006,Kelantan,a,1266
2006,Kelantan,ab,371
2006,Kelantan,all,5328
2006,Kelantan,b,1453
2006,Kelantan,o,2238
2006,Melaka,a,1746
2006,Melaka,ab,472
2006,Melaka,all,6976
2006,Melaka,b,1842
2006,Melaka,o,2916
2006,Negeri Sembilan,a,971
2006,Negeri Sembilan,ab,259
2006,Negeri Sembilan,all,3887
2006,Negeri Sembilan,b,1021
2006,Negeri Sembilan,o,1636
2006,Pahang,a,841
2006,Pahang,ab,220
2006,Pahang,all,3258
2006,Pahang,b,904
2006,Pahang,o,1293
2006,Perak,a,16
2006,Perak,ab,2
2006,Perak,all,53
2006,Perak,b,13
2006,Perak,o,22
2006,Pulau Pinang,a,0
2006,Pulau Pinang,ab,0
2006,Pulau Pinang,all,0
2006,Pulau Pinang,b,0
2006,Pulau Pinang,o,0
2006,Sabah,a,633
2006,Sabah,ab,130
2006,Sabah,all,2936
2006,Sabah,b,652
2006,Sabah,o,1521
2006,Sarawak,a,35
2006,Sarawak,ab,5
2006,Sarawak,all,121
2006,Sarawak,b,40
2006,Sarawak,o,41
2006,Selangor,a,941
2006,Selangor,ab,258
2006,Selangor,all,3975
2006,Selangor,b,1118
2006,Selangor,o,1658
2006,Terengganu,a,5177
2006,Terengganu,ab,1465
2006,Terengganu,all,20341
2006,Terengganu,b,5742
2006,Terengganu,o,7957
2006,W.P. Kuala Lumpur,a,33593
2006,W.P. Kuala Lumpur,ab,8776
2006,W.P. Kuala Lumpur,all,133474
2006,W.P. Kuala Lumpur,b,36141
2006,W.P. Kuala Lumpur,o,54960
2007,Johor,a,1529
2007,Johor,ab,436
2007,Johor,all,6462
2007,Johor,b,1740
2007,Johor,o,2757
2007,Kedah,a,6859
2007,Kedah,ab,2008
2007,Kedah,all,27126
2007,Kedah,b,7787
2007,Kedah,o,10472
2007,Kelantan,a,2493
2007,Kelantan,ab,646
2007,Kelantan,all,9786
2007,Kelantan,b,2603
2007,Kelantan,o,4044
2007,Melaka,a,6113
2007,Melaka,ab,1620
2007,Melaka,all,24078
2007,Melaka,b,6420
2007,Melaka,o,9925
2007,Negeri Sembilan,a,3300
2007,Negeri Sembilan,ab,844
2007,Negeri Sembilan,all,13284
2007,Negeri Sembilan,b,3624
2007,Negeri Sembilan,o,5516
2007,Pahang,a,844
2007,Pahang,ab,236
2007,Pahang,all,3237
2007,Pahang,b,887
2007,Pahang,o,1270
2007,Perak,a,20
2007,Perak,ab,4
2007,Perak,all,53
2007,Perak,b,14
2007,Perak,o,15
2007,Pulau Pinang,a,0
2007,Pulau Pinang,ab,0
2007,Pulau Pinang,all,0
2007,Pulau Pinang,b,0
2007,Pulau Pinang,o,0
2007,Sabah,a,2727
2007,Sabah,ab,633
2007,Sabah,all,12706
2007,Sabah,b,3004
2007,Sabah,o,6342
2007,Sarawak,a,46
2007,Sarawak,ab,8
2007,Sarawak,all,180
2007,Sarawak,b,52
2007,Sarawak,o,74
2007,Selangor,a,4497
2007,Selangor,ab,1181
2007,Selangor,all,18184
2007,Selangor,b,5092
2007,Selangor,o,7414
2007,Terengganu,a,4740
2007,Terengganu,ab,1309
2007,Terengganu,all,18682
2007,Terengganu,b,5444
2007,Terengganu,o,7189
2007,W.P. Kuala Lumpur,a,36422
2007,W.P. Kuala Lumpur,ab,9534
2007,W.P. Kuala Lumpur,all,145600
2007,W.P. Kuala Lumpur,b,39715
2007,W.P. Kuala Lumpur,o,59923
2008,Johor,a,2257
2008,Johor,ab,596
2008,Johor,all,9336
2008,Johor,b,2523
2008,Johor,o,3960
2008,Kedah,a,10695
2008,Kedah,ab,3064
2008,Kedah,all,42739
2008,Kedah,b,12130
2008,Kedah,o,16850
2008,Kelantan,a,2787
2008,Kelantan,ab,818
2008,Kelantan,all,11308
2008,Kelantan,b,3000
2008,Kelantan,o,4703
2008,Melaka,a,6573
2008,Melaka,ab,1648
2008,Melaka,all,26107
2008,Melaka,b,7086
2008,Melaka,o,10800
2008,Negeri Sembilan,a,3416
2008,Negeri Sembilan,ab,878
2008,Negeri Sembilan,all,13723
2008,Negeri Sembilan,b,3786
2008,Negeri Sembilan,o,5643
2008,Pahang,a,790
2008,Pahang,ab,203
2008,Pahang,all,3140
2008,Pahang,b,917
2008,Pahang,o,1230
2008,Perak,a,5963
2008,Perak,ab,1595
2008,Perak,all,23714
2008,Perak,b,6569
2008,Perak,o,9587
2008,Pulau Pinang,a,0
2008,Pulau Pinang,ab,0
2008,Pulau Pinang,all,0
2008,Pulau Pinang,b,0
2008,Pulau Pinang,o,0
2008,Sabah,a,4167
2008,Sabah,ab,960
2008,Sabah,all,18820
2008,Sabah,b,4541
2008,Sabah,o,9152
2008,Sarawak,a,2948
2008,Sarawak,ab,831
2008,Sarawak,all,12532
2008,Sarawak,b,3553
2008,Sarawak,o,5200
2008,Selangor,a,4392
2008,Selangor,ab,1198
2008,Selangor,all,17769
2008,Selangor,b,5015
2008,Selangor,o,7164
2008,Terengganu,a,3494
2008,Terengganu,ab,998
2008,Terengganu,all,13774
2008,Terengganu,b,3972
2008,Terengganu,o,5310
2008,W.P. Kuala Lumpur,a,38874
2008,W.P. Kuala Lumpur,ab,10170
2008,W.P. Kuala Lumpur,all,155405
2008,W.P. Kuala Lumpur,b,42615
2008,W.P. Kuala Lumpur,o,63742
2009,Johor,a,6382
2009,Johor,ab,1552
2009,Johor,all,25702
2009,Johor,b,6873
2009,Johor,o,10895
2009,Kedah,a,11233
2009,Kedah,ab,3118
2009,Kedah,all,44862
2009,Kedah,b,12816
2009,Kedah,o,17695
2009,Kelantan,a,3032
2009,Kelantan,ab,757
2009,Kelantan,all,11520
2009,Kelantan,b,3031
2009,Kelantan,o,4700
2009,Melaka,a,6809
2009,Melaka,ab,1740
2009,Melaka,all,26653
2009,Melaka,b,7161
2009,Melaka,o,10943
2009,Negeri Sembilan,a,3269
2009,Negeri Sembilan,ab,847
2009,Negeri Sembilan,all,13001
2009,Negeri Sembilan,b,3559
2009,Negeri Sembilan,o,5326
2009,Pahang,a,914
2009,Pahang,ab,244
2009,Pahang,all,3414
2009,Pahang,b,953
2009,Pahang,o,1303
2009,Perak,a,6501
2009,Perak,ab,1719
2009,Perak,all,26092
2009,Perak,b,7187
2009,Perak,o,10685
2009,Pulau Pinang,a,0
2009,Pulau Pinang,ab,0
2009,Pulau Pinang,all,0
2009,Pulau Pinang,b,0
2009,Pulau Pinang,o,0
2009,Sabah,a,4403
2009,Sabah,ab,957
2009,Sabah,all,19571
2009,Sabah,b,4607
2009,Sabah,o,9604
2009,Sarawak,a,3832
2009,Sarawak,ab,1040
2009,Sarawak,all,15843
2009,Sarawak,b,4459
2009,Sarawak,o,6512
2009,Selangor,a,5418
2009,Selangor,ab,1458
2009,Selangor,all,21668
2009,Selangor,b,5989
2009,Selangor,o,8803
2009,Terengganu,a,3602
2009,Terengganu,ab,997
2009,Terengganu,all,14262
2009,Terengganu,b,4164
2009,Terengganu,o,5499
2009,W.P. Kuala Lumpur,a,40642
2009,W.P. Kuala Lumpur,ab,10840
2009,W.P. Kuala Lumpur,all,162692
