license_no,company,state,postcode,phone,license_year,osa_code
MALLP20241170,Dragon Ginseng Bio-Tech Sdn Bhd,Selangor,42200,03-32917777,2024,1020020
MALLP20241477,NUTROGREEN HEALTH INDUSTRIES SDN BHD,Negeri Sembilan,71450,016-7170568,2024,999853
MALLP20240010,Leung Kai Fook Medical Sdn. Bhd.,Johor,80350,072668088,2024,1020252
MALLP20241110,SHAFLI LAGENDA SDN. BHD.,Selangor,43650,03-8928 0177,2024,1020255
MALLP20240954,Reishilab Sdn Bhd,Selangor,43500,0387232188,2024,13381
MALLP20240300,BAN AN TSI COMPANY SDN. BHD.,Pulau Pinang,11960,04-6263513,2024,3894
MALLP20240209,QIS RESEARCH LABORATORY SDN. BHD.,Selangor,41400,0333410713,2024,1105865
MALLP20241269,KUNTUM JINGGA SDN. BHD.,Selangor,48000,03-62574868,2024,1019712
MALLP20241567,PERUSAHAAN GAMAT HY,Selangor,68100,0187776962,2024,56685
MALLP20241488A,Peritone Health Sdn. Bhd.,Kedah,09000,0194751697,2024,1115548
MALLP20240732A,RANBAXY (MALAYSIA) SDN. BHD.,Kedah,08000,04 4220660/04 4220661,2024,712
MALLP20241035,THE ORIGIN FOODS SDN. BHD.,Selangor,47120,0380900335,2024,1023113
MALLP20240531A,WINWA MEDICAL SDN. BHD.,Pulau Pinang,14000,04-5079784,2024,945200
MALLP20240702,BTY WORLDWIDE SDN.BHD.,Selangor,45620,03-32791773,2024,1112146
MALLP20240292,Gentle Pursuit Sdn Bhd,Selangor,43000,03-79849917,2024,1107980
MALLP20241851,Linde Malaysia Sdn. Bhd.,Johor,81700,0351912959,2024,1203973
MALLP20240250,GREEN PLUS NATURAL PLANT PRODUCTS,Selangor,42600,603-31913190,2024,1019615
MALLP20240131A,HOE PHARMACEUTICALS SDN. BHD.,Selangor,42000,03-31767822,2024,69652
MALLP20240203,Sweet Heart Food Industries Sdn Bhd,Melaka,78000,063163335,2024,1111781
MALLP20241106,Matang Packaging Sdn.Bhd.,W.P. Kuala Lumpur,52100,603 62743307,2024,53172
MALLP20241513,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),W.P. Kuala Lumpur,56000,03-91715329,2024,214
MALLP20240016,Carsis Pharma,Johor,83020,019-7857056,2024,935175
MALLP20240815,SABIT BANANI INDUSTRIES SDN BHD,Kelantan,16100,09-7715196,2024,1019872
MALLP20240864,SENG LIAN TRADING,Perak,30020,0125030672,2024,56750
MALLP20240461A,PAHANG PHARMACY SDN. BHD.,Selangor,41050,03-33931978,2024,681
MALLP20240204,SYARIKAT SAFETY MEDICAL,W.P. Kuala Lumpur,52100,0362517926,2024,5552
MALLP20241268,SYARIKAT MUTIARA,Kelantan,18500,0139006281,2024,6456
MALLP20241641,ECOLITE BIOTECH MANUFACTURING SDN BHD,Johor,83400,07-4850055,2024,10308
MALLP20240306,DS Pharma Herbs Sdn. Bhd.,Kedah,06000,04-9183907,2024,1020222
MALLP20240951,MY MYRACLE SDN. BHD.,Selangor,43500,0387237988,2024,1186864
MALLP20241348,YPL HEALTHCARE PRODUCT SDN BHD,Negeri Sembilan,70450,0123083453,2024,1041356
MALLP20240446,Goodmaid Chemicals Corp. Sdn. Bhd.,Negeri Sembilan,70400,06-6771337,2024,1116098
